Shutter Island,Dennis Lehane,2003
The Godfather,Mario Puzo,1969
The Lovely Bones,Alice Sebold,2002
The Alienist,Caleb Carr,1994
A Time to Kill,John Grisham,1989
The Firm,Robin A.H. Waterfield,1991
Presumed Innocent ,Scott Turow,1986
